Product_name,Product_price_before,Product_price_now,Product_product_company,Product_product_company_url
Hada Labo - Gokujun Hyaluronic Acid Lotion (Light) 170ml [New version],$135.00,$82.00,Hello Bear,https://www.hktvmall.com/hktv/en/s/H0956007
BCL - Saborino Mornign Mask ÔºàAvocadoÔº?2pcs,SRP$199 Thankful,$90.00,F & M,https://www.hktvmall.com/hktv/en/s/H0967001
Innisfree - Super Volcanic Mousse Mask,$147.00,$132.00,innisfree Official Flagship Store,https://www.hktvmall.com/hktv/en/s/H5988001
Elta MD - Foaming Facial Cleanser 207ml,RRP: $480 Thankful,$166.00,Pretties,https://www.hktvmall.com/hktv/en/s/H0958013
Bifesta - Eye Makeup Remover,$52.90,$51.90,"Sunwa Marketing Co., Ltd",https://www.hktvmall.com/hktv/en/s/H1088001
Christian Dior - Dior Addict Lip Glow #004 CORAL,$270.00,$268.00,Beauty Box,https://www.hktvmall.com/hktv/en/s/H5627001
Thursday Plantation - Tea Tree Daily Face Cleanser,$104.90,$64.90,Thursday Plantation,https://www.hktvmall.com/hktv/en/s/H1036001
Etude House - MOISTFULL COLLAGEN DEEPCREAM 75ML + Moistfull Collagen Deep Essence,$471.00,$334.00,ETUDE HOUSE Official Flagship Store,https://www.hktvmall.com/hktv/en/s/H6287001
JOURMOE - 3 in One liner & shadow 01 Basic,$155.00,$106.00,Jadora,https://www.hktvmall.com/hktv/en/s/H0623003
ZINO - Z-Nail PEEL-OFF BASE,$268.00,$189.00,ZINO,https://www.hktvmall.com/hktv/en/s/H0997001
Lucas' Papaw - LUCAS' PaPaw Ointment 25g,$78.00,$40.00,LIVING BEAUTY,https://www.hktvmall.com/hktv/en/s/H1188001
KEANA - Ishizawa-Lab-Toumei-Shirohada-Face-Facial-White-Mask-10-sheet,$184.00,$92.00,Hey iLady,https://www.hktvmall.com/hktv/en/s/H6092001
The Ordinary - Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,$147.00,$103.00,NANA MALL,https://www.hktvmall.com/hktv/en/s/H5859001
